Signatur;Autor:in Nachname;Autor:in Vorname;Titel;Jahr der Veröffentlichung;Schlagwort;Klappentext;ISBN;Sprache
Timmermann01;Timmermann;Tonius;Empfinden – Hören – Sehen. Welche Zugänge wählen nonverbale Psychotherapien?: Am Beispiel der Diagnose: Persönlichkeitsstörung (zeitpunkt musik);2004;Psychotherapie, Sinne, Verfahren, Grundlagen, Indikatoren;"„Die hier vorliegende Materialsammlung dokumentiert verschiedene Arbeitsweisen nonverbaler Therapien bei Patienten mit der Diagnose „Persönlichkeitsstörungen“. Nach einer ärztlichen Einführung werden in sieben Fallbeispielen therapeutische Zugänge über Körper und Atem, Kunst, Tanz, Aktive und Rezeptive Musiktherapie dargestellt. Es werden ihre Möglichkeiten und Grenzen untersucht. Die Fallbeispiele veranschaulichen sehr einfühlsam die jeweiligen Prozesse, die der Leser gut begleiten und nachvollziehen kann. Nonverbale Therapie bedeutet jedoch nicht, dass Sprache, wo sie möglich und sinnvoll ist, nicht auch ihren Platz und ihre Bedeutung hat. So bietet das Nonverbale eine Erfahrungsmöglichkeit an, die dann besprochen wird. Das Erfahrene kann Bereiche einbeziehen, die jenseits von Sprache liegen „unaussprechlich“ oder „noch nicht aussprechbar“ sind, was für Persönlichkeitsstörungen von besonderer Bedeutung ist.
„Im Zentrum der nonverbalen Therapie steht in jedem Fall, wie auch in den verbalen Therapien, die gelungene therapeutische Beziehung, die sich aus dem therapeutischen Klima und den persönlichen Qualitäten des Therapeuten ergibt. Erst die spezifischen Wirkfaktoren sind dann methodenabhängig.“ (Kächele 1988).
Der Einblick in die verschiedenen Möglichkeiten nonverbaler Therapien kann auch eine Hilfe bieten bei der Suche nach einem geeigneten Therapieverfahren, ebenso Atemtherapeuten u.a. viele Anregungen zur Reflektion der eigenen Arbeit geben. Zur Lektüre sehr zu empfehlen.“

In: Atem. Die Zeitschrift. 4 (2005) Heft 1. S. 56.";978-3895003790;Deutsch
Timmermann02;Timmermann;Tonius;Tiefenpsychologisch orientierte Musiktherapie. Bausteine für die Lehre;2004;Tiefenpsychologie, Praxis;"In einer Fülle von psychotherapeutischen Verfahren und Methoden stehen die Musiktherapeutinnen und Musiktherapeuten und haben nur eines sicher gemeinsam: das Medium Musik. Das vorliegende Buch möchte helfen, hier eine Orientierung zu finden und sich auf gemeinsame historische Wurzeln zu besinnen. Diese liegen einerseits im anthropologisch Gegebenen, im Künstlerisch-Ästhetischen und Pädagogischen, andererseits in der Entwicklung der modernen Psychotherapie auf der Basis der Tiefenpsychologie sowie dem aktuellen medizinischen und psychologischen Wissenstand. Aus diesem Material sollten sich, aufgrund der Erfahrungen der letzten fünf Jahrzehnte, Bausteine zu einer musiktherapeutischen Lehre formulieren lassen. 

Die Orientierung an der Tiefenpsychologie soll nicht einschränken und ausgrenzen. Sie soll bei den Grundlagen moderner Psychotherapie und ihren Techniken ansetzen und diese mit den besonderen Qualitäten des Mediums Musik in der Therapie verbinden, sodass die musiktherapeutischen Vorgehensweisen - Musikrezeption, improvisierte Dialoge und Gruppenerfahrungen, Körper-, Atem- und Stimmarbeit, Liedarrangement usw. - im Einklang stehen mit den seit über 100 Jahren immer umfassender und differenzierter erforschten und beschriebenen Gesetzmäßigkeiten der Psyche, mit der Dynamik des Unbewussten und seinen intra- und interpersonellen Manifestationen. 

Speziell beschrieben werden hierbei u.a.: die entwicklungspsychologische Dimension, also die präverbale Interaktion, verstanden als lautmalerischer Dialog und die Bedeutung von Musik für Sozialisation und Biografie; die Beziehungsaspekte, die im Rahmen eines musiktherapeutischen Prozesses aktualisiert werden können; die Verdichtung unbewusster repetitiver Erlebens- und Verhaltensmuster in der musikalisch freien Improvisation, die gleichzeitig ein tiefenpsychologisches Übungsfeld darstellt und überhaupt der tiefenpsychologische Blick auf das musiktherapeutische Geschehen. Dabei werden auch die Besonderheiten von Einzel- und Gruppenmusiktherapie sowie die Inhalte musiktherapeutischer Ausbildung und Forschung berücksichtigt. 

Ein Überblick über Indikation und Arbeitsbereiche der Musiktherapie verdeutlicht eine große Bandbreite und eine sehr unterschiedlicher Klientel. Die damit verbundenen ebenso unterschiedlichen therapeutischen Ansätzen und Behandlungsideologien zwingen, vor allem im Hinblick auf die Ausbildung, zu einem pragmatischen Eklektizismus. Eine tiefenpsychologische Grundhaltung mit einer entsprechend Lehrtherapie ermöglicht dabei Orientierung und Disziplin, sodass ein klienten- und prozessorientiertes Einbeziehen behaviorale/übender, humanistischer und systemischer Elemente kein Ausweichen vor dem Schwierigen darstellt sondern sinnvolle Ergänzung ermöglicht. 

In diesem Sinne soll das vorliegende Buch einen Überblick geben über die Bausteine musiktherapeutischer Lehre begründen, auf der Musiktherapeuten ihren Beruf sinnvoll erlernen und kompetent ausüben können.";	978-3-89500-399-8;Deutsch
Tischler;Tischler;Björn;Musik aktiv gestalten. Ideen für die pädagogische, sonderpädagogische und therapeutisch-orientierte Praxis;1994;Praxis, Konzepte, Pädagogik, Spiele;;3-425-03742-0;Deutsch
Thommen;Thommen;Martin;Problemorientierte Musiktherapie. Ein integratives Konzept (für weitere Info siehe Blaser, Andreas);;;;;Deutsch
Tomatis01;Tomatis;Alfred A.;Der Klang des Lebens. Vorgeburtliche Kommunikation für die Anfänge der seelischen Entwicklung.;1990;Vorgeburtliche Kommunikation, Schwangerschaft, Kommunikation;"""Wenn SIe das Ohr anschauen, werden sie sehen,m dass es genau wie ein Embryo geformt ist, ein Grund, es für einen Mikrokosmos des ganzen Körpers zu halten.""  - Wataru Ohashi (Shiatsu-Lehrer)";3-499-18791-4;Deutsch
Tomatis01a;Tomatis;Alfred A.;Der Klang des Lebens. Vorgeburtliche Kommunikation für die Anfänge der seelischen Entwicklung.;1990;Vorgeburtliche Kommunikation, Schwangerschaft, Kommunikation;"""Wenn SIe das Ohr anschauen, werden sie sehen,m dass es genau wie ein Embryo geformt ist, ein Grund, es für einen Mikrokosmos des ganzen Körpers zu halten.""  - Wataru Ohashi (Shiatsu-Lehrer)";3-498-06491-6;Deutsch
Tüpker01;Tüpker;Rosemarie;Ich singe, was ich nicht sagen kann. Zu einer morphologischen Grundlegung der Musiktherapie;1988;Gesang, Kommunikation;;3-7649-2351-2;Deutsch
Tüpker02;Tüpker;Rosemarie;Konzeptentwicklung musiktherapeutischer Praxis und Forschung;2007;Praxis, Konzepte;Musiktherapie als psychologische Behandlung lässt sich nicht als abgeschlossenes Verfahren an Hochschulen lehren. Die Tätigkeitsbereiche von MusiktherapeutInnen sind so unterschiedlich, dass es notwendig ist, Konzepte in der konkreten Praxis im Austausch mit den Grundsätzen psychologischen Denkens zu entwickeln. Die in diesem Band zusammen gestellten Beiträge aus verschiedenen Praxisfeldern verstehen sich auch als Aufforderung zum Weiterdenken auf der Suche nach den jeweils angemessenen Formen musiktherapeutischen Handelns. ;978-3825820985;Deutsch
Tüpker03;Tüpker;Rosemarie;Musik bis ins hohe ALter. Fortführung, Neubeginn, Therapie;2009;Alter, Musik mit Seniore;"„Musik bis ins hohe Alter“ meint ein Konzept, welches ein Recht auf Kultur in jedem Alter, auch unter den Bedingungen von Krankheit, altersbedingten Einschränkungen und Desorientiertheit, fordert. Es vertritt die Auffassung, dass jeder Mensch in jedem Alter Musik ausüben und auch noch neu erlernen kann. Es will ermutigen, sich unabhängig vom Alter auf die Verwandlungen durch Musik einzulassen und mit ihr neuen Sinn zu gewinnen. 
Mit Beiträgen zur Musiktherapie, zur Musik in der psychotherapeutischen, pädagogischen und sozialen Arbeit mit alten Menschen, zum Instrumentalspiel und zum Singen im Alter wendet sich das Buch an Fachleute wie Laien, die sich für die vielfältigen Fragen im Schnittfeld Musik und Alter interessieren. ";978-3-8391-0108-7;Deutsch
Tüpker04;Tüpker;Rosemarie;Reader Musiktherapie. Masterstudiengang Klinische Musiktherapie;2008;Master;Dieser Reader dient der Vorbereitung auf ein Studium im Masterstudiengang Klinische Musiktherapie der Westfälischen Wilhelms-Universität Münster. Er bietet einen ersten Einblick in die Praxis der Musiktherapie und in die fachlich-theoretische Ausrichtung des Studiengangs. Die Sammlung enthält Aufsätze zur Improvisation, zur Musiktherapie mit geistig behinderten und mit alten Menschen, in der Psychosomatik, Psychiatrie und Neurologie. Theoretische Schwerpunkte bilden dabei die Neuere Psychoanalyse, die Morphologische Psychologie und die Theorie der sozialen Systeme. Gudrun Beinker, Rainer Edelbrock, Jutta Groene, Barbara Keller, Cornelia Klären, Sylvia Kunkel, Katharina Nowack, Oliver Paul, Ursula Pfefferle, Norbert Schläbitz, Bernd Reichert, Rosemarie Tüpker,;;Deutsch
Tüpker05;Tüpker;Rosemarie;Tonwerken: Musik zwischen Kunst und Alltag. Zur psycho-Logik musikalischer Ereignisse.;1990;Tonwerken, Psycho, Logik, musikalische Ereignisse;Die Beiträge dieses Buches zeigen von unterschiedlichen Seiten her, dass es nicht das ganz Andere ist, was zur Musik wird, sondern dass Musik unsere alltäglichen seelischen Behandlungsmethoden aufgreift, unseren Umgang mit der Welt, unsere Welterfahrung hörbar macht. Das setzt nicht voraus, dass wir uns dessen bewusst sein müssen, weder als Musiker noch als Musiktherapeuten, als Patienten oder als Musikliebhaber. Aber als all diese wissen wir, dass Musik sich nicht jenseits der Grundprobleme menschlicher Leiden und Freuden bewegt, sondern diese spiegelt, zuspitzt, verdichtet und sie uns so erneut vorsetzt. Die Kunst der Musik ist es, dass sie es hinbekommt, dass wir uns das und damit uns selbst dennoch gerne anhören: »Wenn die Musik schlägt, fühlt man keinen Schmerz«.;978-3898064668;Deutsch
Ullmann;Ullmann, Wilke;Harald;Handbuch. Katathym Imaginative Psychotherapie.;1990;Handbuch. Katathym Imaginative Psychotherapie.;Die dem Menschen eigene Fähigkeit zu imaginieren stellt ein reiches Potenzial für kreative und therapeutische Prozesse dar. 'Einbildung' und Vorstellungskraft können 'Berge versetzen'. Viele Therapieverfahren nutzen Imaginationen. Die Katathym Imaginative Psychotherapie (KIP) rückt sie in einzigartiger Weise ins Zentrum des Behandlungsgeschehens: als therapeutisch induzierte und begleitete Tagträume, die durch ihren Symbolgehalt und durch die affektiven Momente des Prozesses eine besondere Wirkung entfalten. Die 'katathymen' (d.h. affektgeleiteten) Imaginationen fügen sich zusammen mit den Gesprächsphasen in den Verständnis- und Handlungsrahmen der psychodynamischen Psychotherapie. Vor neurobiologischem Hintergrund betrachtet eröffnet die katathyme Imagination darüber hinaus eine Plattform, über die sich bewährte Ansätze aus anderen Methoden nutzen und integrieren lassen. Das von Hanscarl Leuner ursprünglich experimentell begründete 'Katathyme Bilderleben' (KB) entwickelte sich in mehr als fünfzig Jahren zu einer ausdifferenzierten Therapiemethode. Die Wirksamkeit der KIP ist erwiesen und entspricht heutigen Standards. Ihre Anwendungsmöglichkeiten haben in den letzten Jahren erheblich zugenommen. Nachdem sie zunächst auf erlebnisreaktiven Störungen neurotischer Art zugeschnitten war, hat sich die Methode seit langem auch bei psychosomatischen und traumatisch bedingten Störungen bewährt. Mit entsprechenden Modifikationen ist die KIP für alle Altersgruppen geeignet und über die Einzeltherapie hinaus auch im Gruppen- und Familien-Setting durchführbar. Zum konfliktzentrierenden Vorgehen kamen Ansätze hinzu, die den Ressourcen-Aspekt und systemische Gesichtspunkte einbeziehen. Dieses Handbuch fasst den gegenwärtigen Kenntnisstand auf praxisorientierte Weise zusammen. Nach einem grundlegenden theoretischen und neurowissenschaftlichen Teil wird das gesamte Spektrum der Anwendungsgebiete aufgefächert. Von der Lektüre dieses übersichtlich gegliederten Buchs können Psychotherapeuten aus unterschiedlichen Richtungen profitieren.;978-3-456-84988-1;Deutsch
Verres;Verres;R.;Strahlentherapie im Erleben der patienten;1990;Strahlentherapie;"Woran erkennt man ""ganzheitliche Medizin"", wenn es um Krebserkrankungen geht? In der High-Tech-Medizin kommt es darauf an, ob der einzelne Mensch sich bei denen, die ihn behandeln, menschlich geborgen fühlt. Bestrahlter - Krebs, bestrahlter Mensch. Im Mikrokosmos einer strahlentherapeutischen KrebsstationOh kann das alltägliche Leben plötzlich fremd wie in einem Film erscheinen. Dieses Buch befasst sich mit der Bedeutung der Behandlungsatmosphäre Für krebskranke Menschen. Die Zusammenarbeit der Fachleute untereinander bildet einen weiteren Schwerpunkt. Die während Einer Strahlenbehandlung zu erwartenden Krisen werden beschrieben und die psychologischen Hilfen dargestellt, die zur Erleichterung der Behandlung eingesetzt werden können, insbesondere Entspannungs - und Imaginationsverfahren wie auch die Musiktherapie.";3-335-00506-6;Deutsch
Vorel01;Vorel;Waltraud;Therapie und Erziehung durch Musik 7. Musiktherapie mit verhaltensgestörten Kindern.;1990;Verhaltenstherapie, Verhaltensstörungen, Kinder;Musik als Möglichkeit der Kontaktaufnahme und der  Kontaktentwicklung;3-87204-357-9;Deutsch
Vorel01a;Vorel;Waltraud;Therapie und Erziehung durch Musik 7. Musiktherapie mit verhaltensgestörten Kindern.;1990;Verhaltenstherapie, Verhaltensstörungen, Kinder;Musik als Möglichkeit der Kontaktaufnahme und der  Kontaktentwicklung;3-87204-357-9;Deutsch
Weymann 01;Weymann, Bergstrom-Nielson;Eckhard;Einblicke. Vermittlungen ...musically speaking. Beiträge zur Musiktherapie Heft 12;1990;Improvisationsunterricht, ;;1615-0686;Deutsch
Weymann 02;Weymann;Eckhard;"Zwischentöne
Psychologische Untersuchungen zur musikalischen Improvisation";2004;Improvisation. Künstlerische Improvisation, musikalische Improvisation;"Wer sich auf eine Improvisation einlässt, begibt sich auf schwankenden Boden, auf eine spielerische Gratwanderung zwischen bekannten Wendungen und neuen Möglichkeiten.
Die alte Kunst der musikalischen Improvisation hat in den letzten dreißig Jahren im Spannungsfeld von Jazz und Avantgarde neue Vitalität entwickelt und ist in der Pädagogik und nicht zuletzt in der Musiktherapie zur Wirkung gekommen.
Selten wurde bisher untersucht, was Menschen beim Improvisieren erleben, was sie daran reizt, was sie davon haben. Die Psychologie des Improvisierens ist ein Neuland, das mit der vorliegenden Arbeit betreten wird.
In eingehenden Gesprächen wurden improvisierende Musiker und Musiktherapeuten nach ihren Erfahrungen befragt. Die entstandenen ""Ansichten vom Improvisieren"" lassen neben den Besonderheiten der psychischen Improvisations-Verfassung auch Verbindungen zur individuellen Lebensgestaltung der Musiker erkennen. Künstlerisches Handeln wird zu einem besonderen Beispiel für den Alltag.Der Wirkungsraum der Improvisation erweist sich als ein Spielraum zwischen Identität und Verwandlung.";9-783898063708;Deutsch
Wiesmüller01;Wiesmüller;Edith;Traumaadaptierte Musiktherapie;1990;Trauma, Traumafolgestörungen;Die Forschungs Arbeit befasst sich mit Musiktherapie im Rahmen einer ambulanten sowie Tages klinisch psychiatrischen Behandlung mit schwer traumatisierten Erwachsenen. Vor dem Hintergrund Trauma therapeutischer Konzeptionen werden traumaadaptierte Musiktherapeutische Vorgehensweisen dargestellt und innerhalb der Fallrekonstruktion veranschaulicht. Der Behandlungserfolg wird mit qualitativen und quantitativen Methoden untersucht. Dabei dient das entwickelte Kategorien System dem Verständnis der komplexen Traumafolgesymptomatik. Ebenso hilft es, die unterschiedlichen musikbedingten Faktoren, die innerhalb der Therapieprozesse sowohl spontan als auch durch gezielte therapeutische Intervention auftauchen, zu verstehen. Dieser Wand soll zu einer traumatherapeutisch orientierten Musiktherapie beitragen, welche einen angstfreien Zugang zu den Ressourcen und Resilienzen der Patientinen und Patienten ermöglicht, aber auch das traumabedingte psychodynamische Geschehen Berücksichtigt.          ;978 – 3 – 89500 – 994 – 5;Deutsch
